ano,sigla_uf,area_total_plantada
1994,AC,8154
1995,AC,12265
1996,AC,7774
1997,AC,8201
1998,AC,7904
1999,AC,9865
2000,AC,11194
2001,AC,10652
2002,AC,15345
2003,AC,16271
2004,AC,16820
2005,AC,16948
2006,AC,15223
2007,AC,15966
2008,AC,14630
2009,AC,9731
2010,AC,14015
2011,AC,11158
2012,AC,13031
2013,AC,13548
2014,AC,14330
2015,AC,14708
2016,AC,14217
2017,AC,15090
2018,AC,14094
1994,AL,21986
1995,AL,20612
1996,AL,20933
1997,AL,21905
1998,AL,24384
1999,AL,23689
2000,AL,26234
2001,AL,26008
2002,AL,24652
2003,AL,24408
2004,AL,25038
2005,AL,23390
2006,AL,23918
2007,AL,23660
2008,AL,24746
2009,AL,24308
2010,AL,24199
2011,AL,24157
2012,AL,16418
2013,AL,25603
2014,AL,26153
2015,AL,28909
2016,AL,37476
2017,AL,50073
2018,AL,46380
1994,AM,17586
1995,AM,18843
1996,AM,57500
1997,AM,56549
1998,AM,57843
1999,AM,61910
2000,AM,58856
2001,AM,49068
2002,AM,52513
2003,AM,56202
2004,AM,52424
2005,AM,45627
2006,AM,46560
2007,AM,38262
2008,AM,42672
2009,AM,44524
2010,AM,41350
2011,AM,42089
2012,AM,44299
2013,AM,42245
2014,AM,24852
2015,AM,25745
2016,AM,22842
2017,AM,28461
2018,AM,27105
1994,AP,371
1995,AP,426
1996,AP,5240
1997,AP,5216
1998,AP,5259
1999,AP,1283
2000,AP,1423
2001,AP,2176
2002,AP,1616
2003,AP,1580
2004,AP,1611
2005,AP,1901
2006,AP,1980
2007,AP,2215
2008,AP,2616
2009,AP,3022
2010,AP,3046
2011,AP,3488
2012,AP,3763
2013,AP,3840
2014,AP,3788
2015,AP,3621
2016,AP,3573
2017,AP,3397
2018,AP,2590
1994,BA,1077600
1995,BA,1155272
1996,BA,1098040
1997,BA,1187918
1998,BA,1200780
1999,BA,1201181
2000,BA,1265301
2001,BA,1268341
2002,BA,1262035
2003,BA,1173291
2004,BA,1274522
2005,BA,1298572
2006,BA,1440658
2007,BA,1433532
2008,BA,1446194
2009,BA,1364412
2010,BA,1335658
2011,BA,1383363
2012,BA,1513230
2013,BA,1501834
2014,BA,1479882
2015,BA,1488827
2016,BA,1464628
2017,BA,1069082
2018,BA,1053481
1994,CE,500165
1995,CE,487127
1996,CE,388926
1997,CE,414143
1998,CE,429947
1999,CE,433701
2000,CE,458289
2001,CE,462370
2002,CE,465411
2003,CE,467254
2004,CE,469709
2005,CE,472440
2006,CE,478325
2007,CE,485186
2008,CE,497234
2009,CE,510298
2010,CE,519757
2011,CE,523869
2012,CE,532558
2013,CE,537375
2014,CE,499892
2015,CE,499710
2016,CE,479780
2017,CE,415150
2018,CE,366772
1994,DF,4023
1995,DF,3688
1996,DF,3781
1997,DF,3515
1998,DF,3559
1999,DF,3354
2000,DF,3139
2001,DF,3351
2002,DF,3517
2003,DF,2821
2004,DF,3015
2005,DF,2717
2006,DF,2780
2007,DF,2467
2008,DF,2488
2009,DF,2451
2010,DF,2528
2011,DF,2027
2012,DF,3099
2013,DF,2653
2014,DF,2661
2015,DF,3256
2016,DF,2251
2017,DF,2480
2018,DF,2287
1994,ES,518898
1995,ES,538629
1996,ES,517667
1997,ES,546168
1998,ES,563620
1999,ES,577470
2000,ES,595192
2001,ES,613466
2002,ES,629359
2003,ES,636997
2004,ES,629270
2005,ES,624766
2006,ES,615779
2007,ES,596261
2008,ES,573607
2009,ES,564566
2010,ES,548084
2011,ES,546825
2012,ES,1014232
2013,ES,1004836
2014,ES,973096
2015,ES,970258
2016,ES,935116
2017,ES,901896
2018,ES,857896
1994,GO,26827
1995,GO,29440
1996,GO,27261
1997,GO,28059
1998,GO,31847
1999,GO,33155
2000,GO,31721
2001,GO,32225
2002,GO,40416
2003,GO,34024
2004,GO,34713
2005,GO,34579
2006,GO,36143
2007,GO,36960
2008,GO,38596
2009,GO,37630
2010,GO,39672
2011,GO,37246
2012,GO,46312
2013,GO,39431
2014,GO,40782
2015,GO,44252
2016,GO,45862
2017,GO,42559
2018,GO,47844
1994,MA,38260
1995,MA,41406
1996,MA,30611
1997,MA,31005
1998,MA,30766
1999,MA,29053
2000,MA,30873
2001,MA,31719
2002,MA,31708
2003,MA,31821
2004,MA,33099
2005,MA,34711
2006,MA,36094
2007,MA,37446
2008,MA,37932
2009,MA,35776
2010,MA,37484
2011,MA,36484
2012,MA,34430
2013,MA,33043
2014,MA,31128
2015,MA,27133
2016,MA,26171
2017,MA,27120
2018,MA,25609
1994,MG,994251
1995,MG,958476
1996,MG,956346
1997,MG,994881
1998,MG,1032217
1999,MG,1058348
2000,MG,1106763
2001,MG,1173477
2002,MG,1198329
2003,MG,1168641
2004,MG,1186945
2005,MG,1145366
2006,MG,1177453
2007,MG,1162699
2008,MG,1165951
2009,MG,1115484
2010,MG,1136321
2011,MG,1141509
2012,MG,2183502
2013,MG,2201836
2014,MG,2145963
2015,MG,2128017
2016,MG,2211881
2017,MG,1970250
2018,MG,2159737
1994,MS,6039
1995,MS,4712
1996,MS,7434
1997,MS,9382
1998,MS,8547
1999,MS,9002
2000,MS,8954
2001,MS,8759
2002,MS,7955
2003,MS,7952
2004,MS,7134
2005,MS,6472
2006,MS,5724
2007,MS,5859
2008,MS,5340
2009,MS,4928
2010,MS,5099
2011,MS,5330
2012,MS,6744
2013,MS,6516
2014,MS,6444
2015,MS,6748
2016,MS,6706
2017,MS,11191
2018,MS,8083
1994,MT,71285
1995,MT,66390
1996,MT,63346
1997,MT,95842
1998,MT,77353
1999,MT,91480
2000,MT,95999
2001,MT,97303
2002,MT,72644
2003,MT,78749
2004,MT,78866
2005,MT,73384
2006,MT,53961
2007,MT,56021
2008,MT,85364
2009,MT,86893
2010,MT,51794
2011,MT,57060
2012,MT,77937
2013,MT,76775
2014,MT,92025
2015,MT,80929
2016,MT,72818
2017,MT,65385
2018,MT,60070
1994,PA,215532
1995,PA,217548
1996,PA,211331
1997,PA,195440
1998,PA,201603
1999,PA,206342
2000,PA,207318
2001,PA,222745
2002,PA,227908
2003,PA,243076
2004,PA,234573
2005,PA,240930
2006,PA,256008
2007,PA,255134
2008,PA,253418
2009,PA,244628
2010,PA,255651
2011,PA,255425
