ano,sigla_uf,area_total_plantada
1994,AC,117045
1995,AC,107648
1996,AC,65915
1997,AC,68512
1998,AC,75309
1999,AC,81922
2000,AC,93973
2001,AC,91952
2002,AC,97794
2003,AC,97091
2004,AC,115864
2005,AC,117634
2006,AC,111638
2007,AC,107877
2008,AC,98425
2009,AC,84700
2010,AC,114815
2011,AC,121043
2012,AC,135180
2013,AC,118489
2014,AC,110554
2015,AC,103290
2016,AC,94552
2017,AC,87101
2018,AC,72431
1994,AL,785016
1995,AL,803822
1996,AL,768128
1997,AL,787535
1998,AL,692764
1999,AL,679423
2000,AL,687491
2001,AL,681901
2002,AL,660519
2003,AL,569679
2004,AL,627238
2005,AL,627854
2006,AL,616775
2007,AL,618740
2008,AL,650900
2009,AL,626470
2010,AL,588088
2011,AL,574959
2012,AL,510664
2013,AL,553345
2014,AL,541293
2015,AL,432672
2016,AL,418072
2017,AL,471067
2018,AL,403323
1994,AM,63213
1995,AM,62389
1996,AM,119557
1997,AM,125262
1998,AM,143673
1999,AM,152054
2000,AM,150327
2001,AM,147991
2002,AM,151422
2003,AM,138451
2004,AM,129033
2005,AM,164876
2006,AM,162948
2007,AM,144985
2008,AM,139022
2009,AM,140167
2010,AM,135465
2011,AM,146031
2012,AM,145647
2013,AM,135550
2014,AM,113173
2015,AM,100318
2016,AM,101189
2017,AM,103168
2018,AM,96226
1994,AP,3777
1995,AP,5002
1996,AP,4693
1997,AP,5909
1998,AP,5900
1999,AP,6952
2000,AP,8602
2001,AP,12680
2002,AP,12791
2003,AP,12107
2004,AP,13056
2005,AP,14734
2006,AP,14309
2007,AP,15656
2008,AP,18463
2009,AP,20498
2010,AP,22341
2011,AP,22076
2012,AP,20925
2013,AP,24280
2014,AP,39384
2015,AP,30878
2016,AP,34078
2017,AP,38863
2018,AP,34238
1994,BA,2591106
1995,BA,2246773
1996,BA,2493381
1997,BA,2750962
1998,BA,2410163
1999,BA,2719444
2000,BA,2910098
2001,BA,2791302
2002,BA,3054580
2003,BA,3219344
2004,BA,3396708
2005,BA,3535027
2006,BA,3398365
2007,BA,3374656
2008,BA,3313864
2009,BA,3410816
2010,BA,3356322
2011,BA,3520869
2012,BA,3042539
2013,BA,3173428
2014,BA,3584274
2015,BA,3710681
2016,BA,3075959
2017,BA,3133149
2018,BA,3199951
1994,CE,1828811
1995,CE,1672389
1996,CE,1078109
1997,CE,1079491
1998,CE,1166117
1999,CE,1402901
2000,CE,1472332
2001,CE,1343624
2002,CE,1492922
2003,CE,1498106
2004,CE,1425409
2005,CE,1271717
2006,CE,1380444
2007,CE,1457146
2008,CE,1516034
2009,CE,1565997
2010,CE,1249534
2011,CE,1561076
2012,CE,1207133
2013,CE,835020
2014,CE,1012060
2015,CE,1013029
2016,CE,961666
2017,CE,1109673
2018,CE,1106614
1994,DF,79980
1995,DF,75437
1996,DF,70088
1997,DF,75164
1998,DF,75923
1999,DF,77146
2000,DF,81554
2001,DF,81901
2002,DF,86301
2003,DF,98763
2004,DF,110167
2005,DF,122596
2006,DF,122096
2007,DF,125973
2008,DF,130177
2009,DF,119691
2010,DF,116670
2011,DF,125617
2012,DF,132508
2013,DF,134553
2014,DF,172931
2015,DF,158458
2016,DF,164712
2017,DF,160942
2018,DF,163304
1994,ES,278172
1995,ES,249433
1996,ES,185382
1997,ES,189006
1998,ES,172583
1999,ES,165466
2000,ES,151195
2001,ES,145919
2002,ES,155221
2003,ES,162525
2004,ES,166136
2005,ES,164362
2006,ES,154094
2007,ES,151164
2008,ES,159690
2009,ES,161451
2010,ES,144614
2011,ES,147384
2012,ES,141022
2013,ES,133936
2014,ES,131024
2015,ES,124941
2016,ES,106258
2017,ES,88513
2018,ES,91259
1994,GO,2731305
1995,GO,2667498
1996,GO,2296948
1997,GO,2543908
1998,GO,2814149
1999,GO,3026158
2000,GO,2960808
2001,GO,3020563
2002,GO,3460538
2003,GO,3615712
2004,GO,4172494
2005,GO,4291352
2006,GO,4040749
2007,GO,3918065
2008,GO,4087320
2009,GO,4109036
2010,GO,4270306
2011,GO,4889269
2012,GO,5244323
2013,GO,5301980
2014,GO,5400279
2015,GO,5887704
2016,GO,6206761
2017,GO,6299617
2018,GO,6211717
1994,MA,1933649
1995,MA,1978854
1996,MA,962975
1997,MA,1028827
1998,MA,1130528
1999,MA,1151222
2000,MA,1213901
2001,MA,1255056
2002,MA,1295759
2003,MA,1413738
2004,MA,1520015
2005,MA,1605736
2006,MA,1608870
2007,MA,1620345
2008,MA,1629185
2009,MA,1588862
2010,MA,1729552
2011,MA,1751843
2012,MA,1795760
2013,MA,1845490
2014,MA,1975258
2015,MA,1802598
2016,MA,1571680
2017,MA,1783013
2018,MA,1796133
1994,MG,3523646
1995,MG,3482997
1996,MG,2890153
1997,MG,2995625
1998,MG,2997391
1999,MG,3015838
2000,MG,2958733
2001,MG,2885899
2002,MG,2993543
2003,MG,3281050
2004,MG,3626812
2005,MG,3676705
2006,MG,3447511
2007,MG,3435778
2008,MG,3574571
2009,MG,3673694
2010,MG,3707924
2011,MG,3809903
2012,MG,3947905
2013,MG,4130827
2014,MG,4329431
2015,MG,4297197
2016,MG,4363801
2017,MG,4251179
2018,MG,4206628
1994,MS,1966045
1995,MS,1891891
1996,MS,1517172
1997,MS,1640371
1998,MS,1925990
1999,MS,1989272
2000,MS,2055107
2001,MS,2014829
2002,MS,2096103
2003,MS,2570366
2004,MS,3007135
2005,MS,2915191
2006,MS,3004163
2007,MS,3032633
2008,MS,3237782
2009,MS,3106201
2010,MS,3145163
2011,MS,3196823
2012,MS,3713582
2013,MS,4318120
2014,MS,4551748
2015,MS,4744300
2016,MS,4939289
2017,MS,5273371
2018,MS,5469048
1994,MT,2861655
1995,MT,3459849
1996,MT,3193027
1997,MT,3307458
1998,MT,3838904
1999,MT,4353762
2000,MT,4546968
2001,MT,4882136
2002,MT,5332992
2003,MT,6445164
2004,MT,7912796
2005,MT,8676694
2006,MT,8009276
2007,MT,7792055
2008,MT,8630550
2009,MT,8735355
2010,MT,9181244
2011,MT,9884223
2012,MT,11262263
2013,MT,12723490
2014,MT,13142011
2015,MT,13982687
2016,MT,14494519
2017,MT,15370194
2018,MT,14278806
1994,PA,835777
1995,PA,933413
1996,PA,1022851
1997,PA,974344
1998,PA,1020205
1999,PA,1142087
2000,PA,1129737
2001,PA,946898
2002,PA,891509
2003,PA,990071
2004,PA,1028444
2005,PA,1061815
2006,PA,983007
2007,PA,950688
2008,PA,894926
2009,PA,859286
2010,PA,793733
2011,PA,795974
2012,PA,818833
2013,PA,888463
2014,PA,953116
2015,PA,1015293
2016,PA,1067313
2017,PA,1198721
2018,PA,1157851
1994,PB,745304
1995,PB,807092
1996,PB,626766
1997,PB,675327
1998,PB,412130
1999,PB,452277
2000,PB,571081
2001,PB,464989
2002,PB,512077
2003,PB,571175
2004,PB,624985
2005,PB,541080
2006,PB,588312
2007,PB,541641
2008,PB,602727
2009,PB,596949
2010,PB,387000
2011,PB,520883
2012,PB,315695
2013,PB,269807
2014,PB,332744
2015,PB,290582
2016,PB,327362
2017,PB,310676
2018,PB,344695
1994,PE,1359651
1995,PE,1368548
1996,PE,1414469
1997,PE,1364960
1998,PE,826936
1999,PE,948694
2000,PE,1057256
2001,PE,1000197
2002,PE,1065474
2003,PE,1027877
2004,PE,1034149
2005,PE,1048113
2006,PE,1049471
2007,PE,1045232
2008,PE,1209084
2009,PE,1103305
2010,PE,1008027
2011,PE,1048136
2012,PE,916379
2013,PE,501357
2014,PE,803733
2015,PE,762022
2016,PE,785004
2017,PE,723642
2018,PE,695246
1994,PI,1244793
1995,PI,1280141
1996,PI,629838
1997,PI,665838
1998,PI,692961
1999,PI,739704
2000,PI,755478
2001,PI,761232
2002,PI,801748
2003,PI,809849
2004,PI,920826
2005,PI,991698
2006,PI,1004273
2007,PI,1021277
2008,PI,1015856
2009,PI,1091208
2010,PI,1085916
2011,PI,1211926
2012,PI,1242537
2013,PI,1367561
2014,PI,1443676
2015,PI,1468590
2016,PI,1407874
2017,PI,1550591
2018,PI,1571380
1994,PR,7272678
1995,PR,7237257
1996,PR,7468213
1997,PR,7440901
1998,PR,7543411
1999,PR,7652752
2000,PR,7853944
2001,PR,8002948
2002,PR,8404740
2003,PR,9279977
2004,PR,9457679
2005,PR,9297592
2006,PR,9054166
2007,PR,9210485
2008,PR,9620395
2009,PR,9894073
2010,PR,9533355
2011,PR,9740331
2012,PR,9857170
2013,PR,10337789
2014,PR,10587901
2015,PR,10494673
2016,PR,10598562
2017,PR,10528044
2018,PR,10357553
1994,RJ,251965
1995,RJ,230435
1996,RJ,223971
1997,RJ,219713
1998,RJ,218814
1999,RJ,217063
2000,RJ,206389
2001,RJ,206597
2002,RJ,198457
2003,RJ,199190
2004,RJ,211168
2005,RJ,208228
2006,RJ,201816
2007,RJ,168004
