ano,estado_abrev,areatotal
1985,AC,158629.949212578
1986,AC,158481.673831367
1987,AC,158058.639894551
1988,AC,157346.219950951
1989,AC,156778.336434468
1990,AC,156485.547716035
1991,AC,155840.069900092
1992,AC,155721.231167835
1993,AC,154725.256882936
1994,AC,154742.431296743
1995,AC,154298.809479184
1996,AC,153240.042606208
1997,AC,152588.674459359
1998,AC,152234.087485242
1999,AC,151839.913006477
2000,AC,151357.782425349
2001,AC,151087.733573188
2002,AC,148017.291312724
2003,AC,149090.944809676
2004,AC,148972.838202667
2005,AC,148415.595984983
2006,AC,147719.725349759
2007,AC,147584.484949984
2008,AC,147354.042885843
2009,AC,146572.151965907
2010,AC,146517.504489932
2011,AC,146078.670633832
2012,AC,145627.482459497
2013,AC,146236.53481016
2014,AC,145649.326253595
2015,AC,145161.062889487
2016,AC,144893.433042889
2017,AC,144459.139816472
2018,AC,144117.77071816
2019,AC,143761.371768558
1985,AM,1509852.202959038
1986,AM,1507563.940020678
1987,AM,1508903.501531399
1988,AM,1509238.289472499
1989,AM,1506932.682376517
1990,AM,1506630.219856823
1991,AM,1507225.089014171
1992,AM,1507901.294614002
1993,AM,1505226.70316531
1994,AM,1505150.649394545
1995,AM,1506828.348549667
1996,AM,1504382.536414914
1997,AM,1503815.372171222
1998,AM,1503607.440104961
1999,AM,1500210.135113799
2000,AM,1500532.408426536
2001,AM,1501523.254732119
2002,AM,1503723.253734117
2003,AM,1500390.218736724
2004,AM,1499999.812029131
2005,AM,1499050.60262185
2006,AM,1497690.22025285
2007,AM,1496730.556252396
2008,AM,1496309.594311225
2009,AM,1494395.730085883
2010,AM,1496008.525422137
2011,AM,1495053.659080741
2012,AM,1494999.270429593
2013,AM,1494872.406885906
2014,AM,1492835.754211156
2015,AM,1490450.784469793
2016,AM,1491176.572840439
2017,AM,1489085.575440584
2018,AM,1488466.585788143
2019,AM,1488362.306507213
1985,AP,137030.297714086
1986,AP,137094.464560743
1987,AP,137183.957931856
1988,AP,137091.393493814
1989,AP,137212.26210294
1990,AP,137368.909392619
1991,AP,137050.82516776
1992,AP,137313.929881984
1993,AP,137046.360964817
1994,AP,136805.9897473
1995,AP,136745.30870968
1996,AP,136724.179594695
1997,AP,136811.637492355
1998,AP,136775.430190925
1999,AP,136875.319958122
2000,AP,136822.725742396
2001,AP,137269.124176191
2002,AP,136988.908142994
2003,AP,137267.594350969
2004,AP,136973.392708252
2005,AP,136993.6300776
2006,AP,137225.367319816
2007,AP,137099.992842958
2008,AP,137186.478615534
2009,AP,136919.808401152
2010,AP,136928.160580987
2011,AP,137227.035371127
2012,AP,137140.218514957
2013,AP,136810.899830655
2014,AP,136571.849905404
2015,AP,136546.958072011
2016,AP,136426.526626339
2017,AP,136380.685592749
2018,AP,136275.86438138
2019,AP,135913.345329795
1985,MA,86129.929057692
1986,MA,86640.201654607
1987,MA,85002.706557106
1988,MA,80943.219461705
1989,MA,81412.85002161
1990,MA,79917.853467811
1991,MA,79597.347875673
1992,MA,77469.258156554
1993,MA,75007.446037689
1994,MA,75481.156639438
1995,MA,74272.545091972
1996,MA,72223.250739591
1997,MA,72837.223173432
1998,MA,71104.771290598
1999,MA,68586.056166622
2000,MA,65087.99285979
2001,MA,65731.39712503
2002,MA,65379.657086414
2003,MA,62914.466051968
2004,MA,61355.025975691
2005,MA,61920.524608568
2006,MA,60709.28067471
2007,MA,58901.440311805
2008,MA,58907.16342385
2009,MA,57347.496967794
2010,MA,58205.461652816
2011,MA,57712.762225607
2012,MA,56139.058054401
2013,MA,56741.688102609
2014,MA,56365.076956953
2015,MA,56956.678104364
2016,MA,54174.329091319
2017,MA,56680.167568963
2018,MA,54898.648794754
2019,MA,55929.470881809
1985,MT,474250.345801591
1986,MT,468198.837676358
1987,MT,465746.568455391
1988,MT,460614.795233528
1989,MT,454284.464401454
1990,MT,453614.798227646
1991,MT,449197.061705937
1992,MT,446873.534516961
1993,MT,442610.834567202
1994,MT,433299.15018599
1995,MT,429766.345560753
1996,MT,422290.605461844
1997,MT,412144.718601211
1998,MT,409861.953011042
1999,MT,401314.642965446
2000,MT,397230.617118059
2001,MT,389678.363365085
2002,MT,385123.217209312
2003,MT,374265.385681376
2004,MT,364137.695732836
2005,MT,355662.295082364
2006,MT,350776.466734042
2007,MT,350059.978892295
2008,MT,343907.525619509
2009,MT,345505.567409279
2010,MT,343269.200507589
2011,MT,343793.13318322
2012,MT,343783.114982904
2013,MT,344120.580868258
2014,MT,344155.952612842
2015,MT,339796.44513938
2016,MT,338865.401581263
2017,MT,337551.938191758
2018,MT,334544.886479528
2019,MT,333329.954887271
1985,PA,1138175.025050667
1986,PA,1140533.985525098
1987,PA,1136455.348970871
1988,PA,1128396.652792541
1989,PA,1127154.019065128
1990,PA,1126676.525000617
1991,PA,1122802.324628574
1992,PA,1116759.097834611
1993,PA,1110116.339311587
1994,PA,1106712.775756773
1995,PA,1097546.968933192
1996,PA,1091377.7673121
1997,PA,1084548.184489381
1998,PA,1079993.740554927
1999,PA,1072856.709618794
2000,PA,1068016.797133682
2001,PA,1064008.137539865
2002,PA,1055508.742584728
2003,PA,1045594.108421418
2004,PA,1038537.969513676
2005,PA,1029718.592314029
2006,PA,1021183.513941004
2007,PA,1014630.490241667
2008,PA,1011687.573723148
2009,PA,1007123.936026347
2010,PA,1005768.927669624
2011,PA,1004951.831585608
2012,PA,1006388.360720739
2013,PA,1004481.321871922
2014,PA,1003038.665881958
2015,PA,1001594.934309672
2016,PA,995386.463949037
2017,PA,992651.187208239
2018,PA,987761.077855488
2019,PA,988029.297864418
1985,RO,213933.74939591
1986,RO,212736.119588732
1987,RO,210799.770943588
1988,RO,208094.959188203
1989,RO,205633.196888988
1990,RO,205802.294161646
1991,RO,204376.464629306
1992,RO,202110.957160551
