ano,sigla_uf,areatotal,sigla_partido
1994,AC,154742.431296743,PPR
1998,AC,152234.087485242,PT
2002,AC,148017.291312724,PT
2006,AC,147719.725349759,PT
2010,AC,146517.504489932,PT
2014,AC,145649.326253595,PT
2018,AC,144117.77071816,PP
1994,AM,1505150.649394545,PPR
1998,AM,1503607.440104961,PFL
2002,AM,1503723.253734117,PPS
2006,AM,1497690.22025285,PMDB
2010,AM,1496008.525422137,PMN
2014,AM,1492835.754211156,PROS
2018,AM,1488466.585788143,PSC
1994,AP,136805.9897473,PSB
1998,AP,136775.430190925,PSB
2002,AP,136988.908142994,PDT
2006,AP,137225.367319816,PDT
2010,AP,136928.160580987,PSB
2014,AP,136571.849905404,PDT
2018,AP,136275.86438138,PDT
1994,MA,75481.156639438,PFL
1998,MA,71104.771290598,PFL
2002,MA,65379.657086414,PFL
2006,MA,60709.28067471,PDT
2010,MA,58205.461652816,PMDB
2014,MA,56365.076956953,PC do B
2018,MA,54898.648794754,PC do B
1998,MT,409861.953011042,PSDB
2002,MT,385123.217209312,PPS
2006,MT,350776.466734042,PPS
2010,MT,343269.200507589,PMDB
2014,MT,344155.952612842,PDT
1998,PA,1079993.740554927,PSDB
2002,PA,1055508.742584728,PSDB
2006,PA,1021183.513941004,PT
2010,PA,1005768.927669624,PSDB
2014,PA,1003038.665881958,PSDB
2018,PA,987761.077855488,MDB
1998,RO,183489.029383246,PFL
2002,RO,174195.24388014,PSDB
2006,RO,160447.412213489,PPS
2010,RO,157787.996468168,PMDB
2014,RO,154600.125679832,PMDB
2018,RO,148281.747341551,PSL
1994,RR,218306.035012713,PTB
1998,RR,217316.767218542,PPB
2002,RR,215528.607640611,PSL
2006,RR,215221.557236224,PSDB
2010,RR,214536.510205522,PSDB
2014,RR,213751.012561182,PP
2018,RR,211821.268234583,PSL
1994,TO,8569.075743597,PPR
1998,TO,7107.274914319,PFL
2002,TO,5327.394773028,PFL
2006,TO,6344.401520732,PMDB
2010,TO,6223.226299733,PSDB
2014,TO,6869.58085215,PMDB
2018,TO,6645.391943539,PHS
